username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
zjenkins25;2015-09-14 16:59;0;1;"Made me realize what people would say about me if I passed. #wakeUpCall";;;#wakeUpCall;"643574914365136896";https://twitter.com/zjenkins25/status/643574914365136896
0198089488;2015-09-14 16:59;0;0;"Play Doh Dippin Dots Surprise Shopkins Toys Baskets #playdoh #dippindots #shopkins #surprise #toys ... http://youtu.be/tG720ttYZLo?a";;;#playdoh #dippindots #shopkins #surprise #toys;"643574702208872448";https://twitter.com/0198089488/status/643574702208872448
Crystal_Main;2015-09-14 16:58;0;1;"Some people are just born to 💩 #shocked #gobsmacked";;;#shocked #gobsmacked;"643574578044903424";https://twitter.com/Crystal_Main/status/643574578044903424
5thDeckFighter;2015-09-14 16:57;0;0;"@BKennedyStar wow zobrist is on that list but not Cabrera! #surprised";;@BKennedyStar;#surprised;"643574261752336384";https://twitter.com/5thDeckFighter/status/643574261752336384
caine_928;2015-09-14 16:54;0;2;"Surprise that ho with an omelette. #surprise";;;#surprise;"643573513928904704";https://twitter.com/caine_928/status/643573513928904704
TateJustin;2015-09-14 16:49;0;1;"This defense is completely different than last years. #Shocked";;;#Shocked;"643572327100379136";https://twitter.com/TateJustin/status/643572327100379136
OnceAndFutureSK;2015-09-14 16:48;0;0;"@RosieHew what nonsense. i'm in this film for the history. Wash your mouth out young lady #shocked";;@RosieHew;#shocked;"643572171428732929";https://twitter.com/OnceAndFutureSK/status/643572171428732929
polarisfm;2015-09-14 16:47;0;0;"#NP WOW - Ran #WakeUpCall";;;#NP #WakeUpCall;"643571713905528832";https://twitter.com/polarisfm/status/643571713905528832
Otherbots;2015-09-15 16:59;0;0;"#surprise #ahchacha #eurika #purplerain #robot #fivenightsatfreddys #screamo #moehoward #samuraijack by dantheface";;;#surprise #ahchacha #eurika #purplerain #robot #fivenightsatfreddys #screamo #moehoward #samuraijack;"643937153173618688";https://twitter.com/Otherbots/status/643937153173618688
SkeletalCell;2015-09-15 16:59;0;2;"@MadeULookbyLex Look what I saw at Morris Costumes in Mooresville NC #awesome #surprised #inspiration #visitNC :)";;@MadeULookbyLex;#awesome #surprised #inspiration #visitNC;"643937107782836225";https://twitter.com/SkeletalCell/status/643937107782836225
